,Count Diff,Count Same,Mean Diff,Mean Same,Std Diff,Std Same,Diff_M,Diff_S
0,45551.0,1936.0,34.8136594147,35.9984504132,13.0072599344,15.5262717314,1.1847909985,2.51901179697
1,46285.0,1202.0,34.8672140002,34.659733777,13.1287047253,12.8374138076,-0.207480223178,-0.291290917661
2,45926.0,1561.0,34.8640421548,34.800768738,13.1266342409,12.9679842224,-0.0632734167822,-0.158650018434
3,46242.0,1245.0,34.8796764846,34.2040160643,13.1237260774,13.0197778047,-0.675660420324,-0.103948272703
4,45859.0,1628.0,34.8778211474,34.4152334152,13.1256956285,12.9934809954,-0.462587732197,-0.132214633078
5,46045.0,1442.0,34.8651319361,34.7607489598,13.1295117048,12.8610375236,-0.104382976371,-0.268474181188
6,46008.0,1479.0,34.8788906277,34.3353617309,13.1447970189,12.36137368,-0.543528896818,-0.783423338915
7,46117.0,1370.0,34.8757508077,34.397810219,13.1262576292,12.9501542963,-0.47794058875,-0.176103332895
8,45853.0,1634.0,34.8479706889,35.2545899633,13.1305286488,12.8579332945,0.40661927434,-0.272595354283
9,46034.0,1453.0,34.85019768,35.2346868548,13.1210829271,13.1278669119,0.384489174808,0.00678398486301
10,45565.0,1922.0,34.8612751015,34.878251821,13.1053869012,13.4970162883,0.0169767195164,0.391629387056
11,45744.0,1743.0,34.8610528157,34.8858290304,13.1290421443,12.9206773641,0.0247762147375,-0.20836478025
12,46200.0,1287.0,34.8547402597,35.1212121212,13.1157650959,13.3217478768,0.266471861472,0.205982780849
13,46147.0,1340.0,34.8776951915,34.3201492537,13.1106014872,13.4790423437,-0.557545937722,0.368440856404
14,46144.0,1343.0,34.8485610264,35.3224125093,13.1420002977,12.3856136013,0.473851482955,-0.75638669639
15,46206.0,1281.0,34.8786737653,34.2591725215,13.107574231,13.5994012599,-0.619501243844,0.491827028882
16,45929.0,1558.0,34.8746325851,34.4884467266,13.1249407016,13.0127473701,-0.386185858504,-0.112193331524
17,45930.0,1557.0,34.8528630525,35.1303789338,13.1150925753,13.3051619638,0.277515881376,0.190069388473
18,45950.0,1537.0,34.8577149075,34.9889394925,13.1298827977,12.8662189911,0.13122458501,-0.26366380664
19,46305.0,1182.0,34.8704027643,34.5313028765,13.1113339085,13.5082482343,-0.3390998878,0.396914325725
20,46150.0,1337.0,34.8871939328,33.9910246821,13.1319738159,12.7222132431,-0.896169250704,-0.409760572845
21,45989.0,1498.0,34.8577268477,34.9919893191,13.1262528917,12.9726062509,0.134262471368,-0.153646640825
22,46165.0,1322.0,34.8669121629,34.689107413,13.1196696739,13.182617163,-0.177804749883,0.0629474890859
23,46193.0,1294.0,34.9006992401,33.4791344668,13.1216213322,13.0403898895,-1.42156477337,-0.0812314427137
